"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","_WARN_","I_BAD","U_BAD","P_BAD1","P_BAD0","EM_EVENTPROBABILITY","EM_PROBABILITY","EM_CLASSIFICATION"
"           0","        2300","      102370","      120953","HomeImp","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178","","0","           0","0.0650081933","0.9349918067","0.0650081933","0.9349918067","0"
"           1","        2300","       37626","       46200","HomeImp","Other","1.5501513693","           0","           1","122.26666667","           1","          14","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2400","       50000","       73395","HomeImp","ProfExe","           5","           1","           0","           .","           1","           0","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2400","       28000","       40800","HomeImp","Mgr","          12","           0","           0","        67.2","           2","          22","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2400","       18000","           .","HomeImp","Mgr","          22","           .","           2","121.73333333","           0","          10","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2400","           .","       17180","HomeImp","Other","           .","           0","           0","14.566666667","           3","           4","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2400","       34863","       47471","HomeImp","Mgr","          12","           0","           0","70.491080032","           1","          21","38.263600731","","0","           0","0.1144694683","0.8855305317","0.1144694683","0.8855305317","0"
"           0","        2400","       98449","      117195","HomeImp","Office","           4","           0","           0","93.811774855","           0","          13","29.681827045","","0","           0","0.0564986699","0.9435013301","0.0564986699","0.9435013301","0"
"           1","        2500","       15000","       20200","HomeImp","","          18","           0","           0","136.06666667","           1","          19","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2500","  11555.2001","26045.983588","HomeImp","Other","          10","           1","           2","276.96666667","           0","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        2500","        7229","       44516","HomeImp","Self","           .","           0","           0","         208","           0","          12","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        2500","       71408","       78600","HomeImp","ProfExe","           8","           0","           0","255.73333333","           0","          12","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2800","       50795","60626.237411","HomeImp","Self","          26","           2","          15","145.63333333","           3","          45","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2800","        4000","       60850","HomeImp","Other","7.3524873812","           4","           0","112.63333333","           2","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2900","       78600","      113000","DebtCon","ProfExe","           6","           1","           0","165.33333333","           2","          26","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        2900","      103949","      112505","HomeImp","Office","           1","           0","           0"," 96.10232967","           0","          13","30.051136286","","0","           0","0.0562995715","0.9437004285","0.0562995715","0.9437004285","0"
"           0","        2900","      104373","      120702","HomeImp","Office","0.5892877349","           0","           0","101.54029753","           0","          13","29.915859028","","0","           0","0.0563426635","0.9436573365","0.0563426635","0.9436573365","0"
"           1","        2900","        7750","       67996","HomeImp","Other","          16","           3","           0","122.20466276","           2","           8","36.211347998","","0","           0","0.4140102313","0.5859897687","0.4140102313","0.5859897687","0"
"           1","        2900","       61962","       70915","DebtCon","Mgr","1.4406682232","           0","           0","282.80165924","           3","          37"," 49.20639579","","0","           0","0.1393995625","0.8606004375","0.1393995625","0.8606004375","0"
"           0","        3000","61713.322045","      121729","HomeImp","Office","           2","           0","           0","85.884371895","           0","          14","32.059783267","","0","           0"," 0.080950525"," 0.919049475"," 0.080950525"," 0.919049475","0"
"           1","        3000","        7000","       20300","HomeImp","Other","           3","           0","           0","        50.8","           5","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3000","           .","        8800","HomeImp","Other","           2","           0","           1","77.766666667","           0","           3","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3000","           .","       33000","HomeImp","Other","           1","           0","           1","        23.3","           1","           2","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3000","      119826","      193500","HomeImp","Other","           8","           0","           0","130.03335846","           0","          27","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3000","       20000","       29750","DebtCon","Other","           2","           0","           0","187.06666667","           0","          12","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3000","           .","       14500","HomeImp","Other","           3","           0","           0","         9.3","          14","           2","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3000","           .","       14100","HomeImp","Other","0.3044757914","           0","           0","       104.2","           0","          19","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3000","       47000","       82700","HomeImp","ProfExe","          10","           0","           1","262.16666667","           5","          26","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3000","       34542","       45900","HomeImp","Mgr","         8.5","           0","           2","62.366666667","           0","          10","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3000","       58000","       71500","HomeImp","Mgr","          10","           .","           2","211.93333333","           0","          25","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3000","       47000","       56400","HomeImp","Office","          21","           0","           0","201.86666667","           0","          20","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3100","       39589","       36100","HomeImp","Other","         1.5","           0","           0","153.16666667","           1","          14","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3100","           .","       70400","","","           .","           .","           .","           .","           .","           .","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","2768.2318805","       67848","       74566","HomeImp","Mgr","          10","           .","           1","206.42660206","           0","          25","40.115677278","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3200","       48603","       61000","HomeImp","ProfExe","          28","           0","           4","122.03333333","           1","          25","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3200","       27200","       40834","HomeImp","Other","           .","           0","           0","298.13156403","           0","           7","35.553538789","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3200","15917.650392","       64850","HomeImp","Other","           1","           0","           0","121.86666667","           3","          21","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3200","       74864","       87266","HomeImp","ProfExe","1.1863869816","           0","           0","250.63126922","           0","          12","42.909997351","","0","           0","0.0999504502","0.9000495498","0.0999504502","0.9000495498","0"
"           1","        3200","       23159","           .","HomeImp","Mgr","          20","           .","           2","117.80574784","           0","           9","0.5244992154","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3300","37295.759248","      134527","HomeImp","Sales","           9","           1","           0","         139","           0","          36","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3300","      130518","      164317","DebtCon","Other","           9","           0","           6","192.28914897","           0","          33"," 35.73055919","","1","           1"," 0.617528634"," 0.382471366"," 0.617528634"," 0.617528634","1"
"           1","        3400","       37000","       52000","HomeImp","Office","           2","           0","           1","183.29991561","           0","           6","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3500","       23200","       38666","HomeImp","Other","          11","           0","           0","162.36666667","           0","          14","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3500","       19400","       20494","HomeImp","Other","           5","           0","           0","95.933333333","           0","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3600","       61584","       61800","HomeImp","ProfExe","          10","           .","           .","           .","           .","           .","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3600","       41900","       52490","HomeImp","Mgr","           3","           0","           0","72.033333333","           2","           4","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3600","       83700","      111800","HomeImp","ProfExe","           6","           0","           0","192.73333333","           1","          28","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3600","       61327","       76484","HomeImp","Mgr","           9","           .","           2","202.51077515","           0","          25","41.516389699","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3600","      100693","      114743","HomeImp","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382","","0","           0","0.0537748881","0.9462251119","0.0537748881","0.9462251119","0"
"           1","        3600","       48507","       61000","DebtCon","Office","          13","           1","           4","        97.4","           0","          17","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3600","       52337","       63989","HomeImp","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508","","0","           0","0.0199302168","0.9800697832","0.0199302168","0.9800697832","0"
"           1","        3700","       17857","       21144","HomeImp","Other","           5","           0","           0","129.71732313","           1","           9","26.634347518","","0","           0","0.0650925055","0.9349074945","0.0650925055","0.9349074945","0"
"           1","        3800","7818.2402587","       97692","HomeImp","Mgr","         1.6","           1","           6","252.63333333","           1","          25","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3800","       51180","       63459","HomeImp","Office","          20","           0","           0","203.75153358","           0","          20","20.067042051","","0","           0","0.0194654985","0.9805345015","0.0194654985","0.9805345015","0"
"           0","        3800","           .","       73189","","","           .","           .","           .","           .","           .","           .","22.253949156","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3800","       11543","       46045","HomeImp","Self","           .","           0","           0","204.64799167","           0","          11","42.173165882","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        3900","       29896","       45960","HomeImp","Other","          11","           0","           0","146.12324219","           0","          14","24.478881191","","0","           0","0.0440593957","0.9559406043","0.0440593957","0.9559406043","0"
"           1","        3900","12455.929792","       22092","HomeImp","Other","         3.5","           0","           1","       150.3","           5","           8","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3900","       52825","       63000","DebtCon","ProfExe","           8","           0","           4","171.66666667","           1","          31","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        3900","      102143","      118742","HomeImp","Office","           2","           0","           0","85.277365579","           0","          13","29.343921089","","0","           0","0.0561598549","0.9438401451","0.0561598549","0.9438401451","0"
"           0","        3900","       21200","       39000","DebtCon","Mgr","2.5896461078","           0","           1","86.566666667","           2","          14","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4000","      105164","      112774","HomeImp","Office","           1","           0","           0","94.724874167","           0","          13","29.390928055","","0","           0","0.0536169284","0.9463830716","0.0536169284","0.9463830716","0"
"           0","        4000","       54543","       61777","HomeImp","Office","          21","           0","           0","205.58668003","           0","          19","21.806563464","","0","           0","0.0215642945","0.9784357055","0.0215642945","0.9784357055","0"
"           1","        4000","           .","       80609","HomeImp","Other","         1.5","           0","           2","126.53333333","           3","          12","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","       26572","       31960","HomeImp","Office","          11","           0","           0","117.79510387","           0","           8","41.286491948","","0","           0","0.1266418251","0.8733581749","0.1266418251","0.8733581749","0"
"           1","        4000","       17000","       52012","HomeImp","ProfExe","          22","           3","           1","85.333333333","           1","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","       29562","       37200","DebtCon","Other","           6","           0","           0","92.133333333","           1","          26","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","       41700","       76725","HomeImp","Other","         0.5","           0","           3","136.13333333","           0","          15","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","       58000","       69440","HomeImp","Other","         3.5","           0","           1","168.66666667","           0","          18","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","        5700","       18000","DebtCon","Other","           .","           0","           0","        12.2","           0","          17","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","       45000","       58350","HomeImp","Mgr","         3.5","           0","           0","         162","           3","          16","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","        7000","       16020","HomeImp","Other","          18","           0","           1","        85.8","           2","          23","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","1095.8029223","       66000","       79050","HomeImp","Other","1.5843836076","           2","           0","         279","           1","           6","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","670.54685423","           .","       45760","HomeImp","","           0","           0","           0","           .","           0","           0","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4000","       62000","       78000","HomeImp","Other","           4","           0","           0","109.56666667","           0","          15","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4000","       64240","58680.823574","HomeImp","Sales","           5","           2","           0","       160.3","           1","          23","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","       74000","77003.431095","HomeImp","ProfExe","2.3505239851","           1","           3","186.63333333","           .","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4000","       55000","       59000","DebtCon","Other","1.8820532439","           2","           0","       146.1","           0","          22","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4000","       67625","77252.381513","HomeImp","Mgr","          11","           .","           1","212.34930388","           0","          25","39.128717628","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4000","26363.431621","       71865","HomeImp","Mgr","          10","           .","           2","227.79298841","           0","          25","39.166328703","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4100","           .","       19132","HomeImp","Other","           0","           0","           0","100.77465221","           0","          19","33.840919904","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4100","       58500","35258.662882","HomeImp","Other","1.2264724529","           1","           2","63.933333333","           2","          15","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4100","       57992","       63797","DebtCon","ProfExe","           7","           0","           4","165.50503695","           1","          31"," 22.27817437","","0","           0","0.1898218465","0.8101781535","0.1898218465","0.8101781535","0"
"           0","        4200","       56544","       59218","HomeImp","Office","          19","           0","           0","211.00259912","           1","          20","19.027704425","","0","           0","0.0194929005","0.9805070995","0.0194929005","0.9805070995","0"
"           1","        4200","       34800","       50225","HomeImp","Other","           2","           1","           0","        93.5","           1","           5","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4200","       67700","4547.0356134","DebtCon","Sales","           4","           0","           0","128.83333333","           0","          31","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4200","       44000","       55085","DebtCon","","           6","           .","           1","75.433333333","           .","          16","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4200","       66272","       82953","HomeImp","Other","           3","           0","           0","110.27866259","           0","          15","43.450587911","","0","           0","0.1616205342","0.8383794658","0.1616205342","0.8383794658","0"
"           0","        4200","       50216","       58541","HomeImp","Office","          19","           0","           0","209.87130224","           0","          19"," 20.20803267","","0","           0","0.0194874444","0.9805125556","0.0194874444","0.9805125556","0"
"           0","        4300","       71206","       78698","DebtCon","Sales","1.3245309346","           0","           0","129.93286902","           0","          31","34.181376516","","0","           0","0.1334416018","0.8665583982","0.1334416018","0.8665583982","0"
"           0","        4300","       68815","       79852","HomeImp","Other","           6","           0","           0","105.12070881","           0","          14","41.806376152","","0","           0","0.1444406348","0.8555593652","0.1444406348","0.8555593652","0"
"           0","        4300","       72021","       80027","HomeImp","Other","           2","           2","           0","263.97030029","           0","           5","36.432093937","","0","           0","0.1708484684","0.8291515316","0.1708484684","0.8291515316","0"
"           0","        4400","       53969","       63869","DebtCon","ProfExe","           7","           0","           3","162.39001067","           0","          30","23.581079239","","0","           0","0.1197673923","0.8802326077","0.1197673923","0.8802326077","0"
"           0","        4400","           .","       60250","","","           .","           .","           .","           .","           .","           .","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4400","       53091","       64074","DebtCon","Office","          14","           1","           3"," 89.86105825","           0","          17","39.158084834","","0","           0","0.4649972268","0.5350027732","0.4649972268","0.5350027732","0"
"           0","        4500","       66127","       79087","HomeImp","Other","           4","           1","           0","81.349065098","           0","          15"," 40.70530876","","0","           0","0.2078516595","0.7921483405","0.2078516595","0.7921483405","0"
"           0","        4500","           .","       77182","","","           .","           .","           .","           .","           .","           .","25.227252904","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","197.54898348","6765.0470504","       66000","HomeImp","Other","0.7410481888","           0","           0","170.36666667","           1","          19","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","2099.6580492","       71082","       79247","HomeImp","Other","           4","           0","           0","118.76041007","           0","          14","41.421110521","","0","           0","0.1371865034","0.8628134966","0.1371865034","0.8628134966","0"
"           0","        4500","           .","       49044","HomeImp","","           0","           0","           0","           .","           0","           0","11.652738796","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4500","       57000","           .","HomeImp","Other","           5","           .","           .","       222.6","           1","          13","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4500","       34184","       46000","HomeImp","Mgr","         3.5","           0","           1","       122.6","           2","          22","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4500","       66517","81040.821622","DebtCon","ProfExe","          10","           0","           4","       125.8","           0","          34","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4500","       45500","       50000","HomeImp","Other","           6","           0","           0","86.166666667","           0","          18","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4500","      118000","      146870","HomeImp","ProfExe"," 2.342300909","           2","           0","203.86666667","           1","          20","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4500","       90000","      105800","HomeImp","Other","           6","           2","           3","        80.1","           3","          10","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4700","       67913","       97205","","Mgr","           2","           0","           0","142.82439151","           0","          24","35.226997192","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4700","       71855","       88566","HomeImp","Other","           2","           2","           0","283.95953809","           0","           5","36.475473283","","0","           0","0.1673536859","0.8326463141","0.1673536859","0.8326463141","0"
"           0","        4700","       53918","       59511","DebtCon","","           6","           .","           0"," 54.13647743","           .","          15","34.416507811","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4700","       49100","       58238","HomeImp","ProfExe","0.0393451745","           0","           0","        61.8","           2","          17","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4700","       88026","      115506","HomeImp","ProfExe","           6","           0","           0","182.24833156","           0","          27"," 29.20902258","","0","           0","0.0391889345","0.9608110655","0.0391889345","0.9608110655","0"
"           0","        4700","       26900","       45000","HomeImp","ProfExe","           9","           1","           2","90.466666667","           1","          16","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4800","       67317","       97191","","Mgr","           3","           0","           0","137.31972481","           0","          23","34.275293777","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","1856.9617854","       56067","       63102","DebtCon","ProfExe","           9","           0","           3","160.14631128","           1","          30","21.583760121","","0","           0","0.1169708661","0.8830291339","0.1169708661","0.8830291339","0"
"           0","        4800","       80482","       88342","HomeImp","ProfExe","           7","           0","           0","275.03239483","           0","          11","43.717635112","","0","           0","0.0948017924","0.9051982076","0.0948017924","0.9051982076","0"
"           0","        4900","       58688","       63348","DebtCon","ProfExe","           9","           0","           3","179.16257471","           2","          31","22.544392837","","0","           0","0.1295295564","0.8704704436","0.1295295564","0.8704704436","0"
"           0","        4900","       65873","       90408","","Mgr","           2","           0","           0","141.85899895","           0","          23"," 37.76961861","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","1923.7431082","       25597","       23031","HomeImp","Other","           5","           0","           0","101.74676644","           0","           8","33.243156978","","0","           0","0.0945566277","0.9054433723","0.0945566277","0.9054433723","0"
"           0","        4900","       67794","       84630","HomeImp","Other","           4","           0","           0","112.57341888","           0","          15","41.673996362","","0","           0","0.1430024403","0.8569975597","0.1430024403","0.8569975597","0"
"           1","        4900","       44000","       59745","HomeImp","Other","          10","           0","           0","        81.5","           3","          13","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        4900","           .","     28437.5","HomeImp","","           .","           .","           .","           .","           .","           .","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4900","      170986","      245300","DebtCon","Sales","           .","           0","           0","131.93333333","           0","          22","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        4900","       65576","       65774","HomeImp","Other","           6","           1","           2"," 61.64250608","           1","          14","40.590910018","","0","           0"," 0.473378119"," 0.526621881"," 0.473378119"," 0.526621881","0"
"           0","        4900","       57461","       68494","DebtCon","ProfExe","           8","           0","           4","183.63561323","           0","          30","22.795423552","","0","           0","0.1720342718","0.8279657282","0.1720342718","0.8279657282","0"
"           0","        4900","           .","       69706","","","           .","           .","           .","           .","           .","           .","33.705587738","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        5000","           .","30504.455364","HomeImp","","           .","           .","           .","           .","           .","           .","33.354652626","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        5000","       47479","37481.076797","DebtCon","","1.6275696022","           .","           0","65.032969007","           .","          16","36.699414922","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        5000"," 2476.660241","       87168","HomeImp","Other","           4","           0","           0","122.59722258","           0","          15","40.616779346","","0","           0","0.1730676088","0.8269323912","0.1730676088","0.8269323912","0"
"           0","        5000","       12457","34455.038559","HomeImp","Self","           .","           0","           0","207.14348133","           0","          12","44.107951691","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","3630.4535268","       90059","      113714","HomeImp","ProfExe","           7","           0","           0","193.63644686","           0","          28","25.897316482","","0","           0","0.0293151596","0.9706848404","0.0293151596","0.9706848404","0"
"           1","        5000","       22320","       34900","HomeImp","Other","          10","           0","           0","        65.7","           1","           5","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        5000","10590.876197","       70500","HomeImp","Mgr","0.0052912779","           0","           0","61.766666667","           2","           8","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        5000","      100882","      102700","HomeImp","Mgr","           5","           0","           1","58.866666667","           0","          16","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        5000","       31000","       47350","HomeImp","ProfExe","          12","           .","           .","           .","           .","           .","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        5000","       63125","      126500","HomeImp","Office","           3","           0","           0","       100.3","           0","          14","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
